City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,298.14,73,75,6.69,CC,1689869089
1,ilulissat,69.2167,-51.1,283.16,87,75,3.09,GL,1689869132
2,ovalle,-30.5983,-71.2003,294.69,33,100,0.78,CL,1689869020
3,gadzhiyevo,69.2551,33.3362,283.35,88,100,9.33,RU,1689868907
4,revda,56.801,59.9303,289.18,82,37,3.45,RU,1689869175
5,longyearbyen,78.2186,15.6401,287.06,54,20,8.75,SJ,1689868855
6,port elizabeth,-33.918,25.5701,286.31,54,75,3.09,ZA,1689868868
7,newman,37.3138,-121.0208,299.34,24,0,2.48,US,1689869111
8,lebu,-37.6167,-73.65,285.97,94,100,11.16,CL,1689869176
9,dondo,-19.6094,34.7431,296.88,75,7,3.25,MZ,1689869176
10,macas,-2.3167,-78.1167,294.01,94,100,1.03,EC,1689869176
11,thompson,55.7435,-97.8558,293.24,73,40,2.06,CA,1689868826
12,iqaluit,63.7506,-68.5145,277.0,100,100,2.24,CA,1689869132
13,adamstown,-25.066,-130.1015,295.89,81,100,14.98,PN,1689869106
14,kuanda,56.3161,116.0806,282.12,90,30,1.19,RU,1689869177
15,waitangi,-43.9535,-176.5597,280.27,92,100,2.24,NZ,1689869097
16,bengkulu,-3.8004,102.2655,296.68,93,100,2.5,ID,1689868910
17,bomdila,27.25,92.4,289.34,94,97,1.4,IN,1689869178
18,alausi,-2.2,-78.8333,286.43,77,74,3.33,EC,1689869178
19,blackmans bay,-43.0167,147.3167,279.55,85,75,2.57,AU,1689869047
20,papatowai,-46.5619,169.4708,276.99,79,6,4.3,NZ,1689868844
21,broken hill,-31.95,141.4333,283.32,67,98,6.83,AU,1689869179
22,ust-nera,64.5667,143.2,292.23,53,57,2.62,RU,1689869101
23,harper,4.375,-7.7169,299.15,83,100,5.57,LR,1689869179
24,port-aux-francais,-49.35,70.2167,274.83,64,52,18.96,TF,1689869097
25,ribeira grande,38.5167,-28.7,296.37,88,20,2.57,PT,1689869119
26,puerto quijarro,-17.7833,-57.7667,306.7,30,2,2.32,BO,1689869180
27,macapa,0.0389,-51.0664,305.14,66,40,5.66,BR,1689869180
28,port mathurin,-19.6833,63.4167,296.66,68,4,9.06,MU,1689868859
29,fale old settlement,-9.3852,-171.2468,301.45,77,27,5.72,TK,1689869151
30,grytviken,-54.2811,-36.5092,268.7,84,100,1.36,GS,1689869098
31,margaret river,-33.95,115.0667,287.84,74,65,8.56,AU,1689869112
32,bredasdorp,-34.5322,20.0403,283.7,66,10,5.62,ZA,1689869100
33,lerwick,60.1545,-1.1494,284.15,81,99,8.31,GB,1689869181
34,quellon,-43.1167,-73.6167,287.29,77,75,6.69,CL,1689869181
35,puerto colombia,10.9878,-74.9547,307.2,72,5,7.63,CO,1689869182
36,hermanus,-34.4187,19.2345,285.26,65,3,7.82,ZA,1689869078
37,bilibino,68.0546,166.4372,285.98,78,95,0.68,RU,1689869105
38,vila franca do campo,37.7167,-25.4333,295.38,65,100,0.97,PT,1689868973
39,grenaa,56.4158,10.8783,291.27,61,52,9.26,DK,1689869182
40,kapa'a,22.0752,-159.319,299.33,86,75,7.2,US,1689868953
41,wailua homesteads,22.0669,-159.378,298.59,89,100,7.72,US,1689869105
42,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,100,100,3.0,RU,1689869183
43,prince rupert,54.3161,-130.3201,287.98,98,100,1.54,CA,1689869079
44,tiksi,71.6872,128.8694,279.18,64,70,2.77,RU,1689869130
45,bodo,67.28,14.405,289.79,78,40,3.09,NO,1689869184
46,saldanha,-33.0117,17.9442,289.18,62,0,5.72,ZA,1689869184
47,albany,42.6001,-73.9662,301.02,59,1,0.89,US,1689868730
48,edinburgh of the seven seas,-37.0676,-12.3116,284.98,64,34,11.13,SH,1689869075
49,puerto natales,-51.7236,-72.4875,274.87,99,100,1.3,CL,1689868913
50,melekeok village,7.4957,134.6367,301.17,81,100,7.3,PW,1689869185
51,kolonia town,6.964,158.206,301.06,81,100,4.52,FM,1689869185
52,calama,-22.4667,-68.9333,298.42,5,0,2.57,CL,1689869186
53,kingston,17.997,-76.7936,303.68,70,40,8.75,JM,1689869135
54,weno,7.4515,151.8468,301.12,89,100,2.06,FM,1689869109
55,avarua,-21.2078,-159.775,293.18,64,75,1.54,CK,1689869097
56,the pas,53.8251,-101.2541,296.16,46,0,2.06,CA,1689869187
57,purpe,64.4803,76.6897,296.36,50,46,5.29,RU,1689869144
58,mejit,10.2753,170.8646,301.51,81,95,7.3,MH,1689869110
59,misratah,32.3754,15.0925,304.93,53,0,4.8,LY,1689869190
60,hotan,37.0997,79.9269,306.36,13,82,5.72,CN,1689869191
61,ushuaia,-54.8,-68.3,272.96,93,100,2.06,AR,1689868923
62,cidreira,-30.1811,-50.2056,289.59,82,100,7.98,BR,1689869193
63,amuntai,-2.4177,115.2494,296.4,99,15,0.31,ID,1689869193
64,susuman,62.7833,148.1667,290.64,73,57,4.03,RU,1689869194
65,olonkinbyen,70.9221,-8.7187,278.84,84,100,0.24,SJ,1689868847
66,mawu,29.5923,107.3139,296.88,96,100,1.05,CN,1689869194
67,isafjordur,66.0755,-23.124,284.17,82,20,2.06,IS,1689869098
68,shimoda,34.6667,138.95,295.99,87,48,4.71,JP,1689869195
69,nozhay-yurt,43.0933,46.3786,297.37,60,95,1.12,RU,1689869196
70,el calafate,-50.3408,-72.2768,276.48,94,100,0.69,AR,1689869196
71,pisco,-13.7,-76.2167,293.18,77,100,3.09,PE,1689869196
72,shumerlya,55.5005,46.4129,289.42,84,7,4.07,RU,1689869196
73,brookings,44.3114,-96.7984,295.07,72,40,6.17,US,1689869196
74,goure,13.9835,10.2704,310.51,26,76,5.16,NE,1689869197
75,ambatofinandrahana,-20.55,46.8,288.93,56,13,1.98,MG,1689869197
76,popondetta,-8.7537,148.2534,295.11,91,73,1.38,PG,1689869197
77,scarborough,54.2797,-0.4044,291.44,71,91,2.24,GB,1689868912
78,eregli,37.5133,34.0467,302.97,16,0,3.87,TR,1689869197
79,uturoa,-16.7333,-151.4333,297.59,64,28,8.19,PF,1689869114
80,meads,38.4126,-82.7091,303.09,71,75,2.24,US,1689869198
81,vila velha,-20.3297,-40.2925,297.12,81,75,7.2,BR,1689868934
82,qujing,25.4833,103.7833,290.52,95,97,1.52,CN,1689868919
83,hithadhoo,-0.6,73.0833,301.24,77,26,7.63,MV,1689869120
84,carnarvon,-24.8667,113.6333,288.39,42,0,9.2,AU,1689869135
85,rongelap,11.1635,166.8941,301.93,78,100,7.38,MH,1689869128
86,hammerfest,70.6634,23.6821,282.4,93,75,5.14,NO,1689869200
87,sisimiut,66.9395,-53.6735,285.47,79,95,0.17,GL,1689868921
88,prado,-17.3411,-39.2208,296.69,80,87,3.01,BR,1689869201
89,nova vicosa,-17.8919,-39.3719,296.15,85,97,6.05,BR,1689869051
90,torghay,49.6339,63.4981,295.21,60,81,4.52,KZ,1689869099
91,taoudenni,22.6783,-3.9836,320.5,5,0,4.93,ML,1689869202
92,bardai,11.65,7.2333,302.74,55,61,6.45,NG,1689869012
93,humaita,-7.5061,-63.0208,308.43,28,10,1.47,BR,1689868967
94,punta arenas,-53.15,-70.9167,275.43,67,97,6.62,CL,1689869108
95,shagonar,51.5333,92.8,295.34,48,100,0.5,RU,1689869203
96,sinan,34.8262,126.1086,297.45,80,100,1.5,KR,1689869203
